Month,Anomaly,Coefficient_sig,Coefficient_sig_perc,se,se100,T-statistics,
May,C1,0.068,7.0365308479,0.012,1.2072288866,5.8286634175,
May,C2,0.044,4.4982354888,0.011,1.1060722445,4.0668550462,
May,C3,NA,NA,NA,NA,NA,
May,C4,NA,NA,NA,NA,NA,
May,C5,NA,NA,NA,NA,NA,
May,C6,NA,NA,NA,NA,NA,
June,C1,NA,NA,NA,NA,NA,
June,C2,NA,NA,NA,NA,NA,
June,C3,0.023,2.3266539547,0.007,0.7024557267,3.3121716663,
June,C4,-0.034,-3.3428495362,0.011,1.1060722445,-3.0222705189,
June,C5,-0.052,-5.0671133157,0.025,2.5315120524,-2.0016153235,
June,C6,-0.202,-18.2905072058,0.047,4.812200908,-3.8008610936,
July,C1,-0.044,-4.3046042527,0.019,1.9181648617,-2.2441263202,
July,C2,NA,NA,NA,NA,NA,
July,C3,NA,NA,NA,NA,NA,
July,C4,NA,NA,NA,NA,NA,
July,C5,NA,NA,NA,NA,NA,
July,C6,-0.041,-4.0170870052,0.016,1.6128685406,-2.4906475042,
August,C1,-0.11,-10.4165864703,0.035,3.56197088,-2.9243884415,
August,C2,-0.055,-5.3514852047,0.017,1.7145322325,-3.1212508596,
August,C3,-0.024,-2.3714290242,0.011,1.1060722445,-2.1440091604,
August,C4,0.026,2.6340948473,0.008,0.8032085504,3.2794656456,
August,C5,0.027,2.7367802763,0.008,0.8032085504,3.4073096892,
August,C6,0.037,3.7693020838,0.013,1.308486736,2.880657465,
September,C1,-0.126,-11.8385153217,0.028,2.8395684421,-4.1691248381,
September,C2,-0.041,-4.0170870052,0.023,2.3266539547,-1.7265511259,
September,C3,NA,NA,NA,NA,NA,
September,C4,NA,NA,NA,NA,NA,
September,C5,NA,NA,NA,NA,NA,
September,C6,NA,NA,NA,NA,NA,
October,C1,-0.149,-13.8430885101,0.037,3.7693020838,-3.6725866493,
October,C2,NA,NA,NA,NA,NA,
October,C3,NA,NA,NA,NA,NA,
October,C4,NA,NA,NA,NA,NA,
October,C5,NA,NA,NA,NA,NA,
October,C6,NA,NA,NA,NA,NA,

